problem_id;pl;country;score
0;java;India;04.50;43
0;java;Denmark;04.50;1
0;java;Canada;04.50;1
0;java;Egypt;04.50;2
0;java;Turkey;04.50;2
0;java;Republic of Korea;04.50;1
0;java;Brazil;04.50;1
0;java;Asia/Pacific Region;04.50;1
0;java;Puerto Rico;04.50;1
0;java;Nigeria;04.50;1
0;java;Taiwan;04.50;1
0;java;Switzerland;04.50;1
0;java;Ukraine;04.50;1
0;java;Luxembourg;04.50;1
0;java;Netherlands;04.50;1
0;java;Bangladesh;04.50;1
0;java;Israel;04.50;1
0;java;Japan;04.50;1
0;java;Romania;04.50;1
0;java;United Kingdom;04.50;1
0;java;China;04.50;1
0;java;United States;00.00;38
0;java;India;00.00;122
0;java;Vietnam;00.00;6
0;java;Romania;00.00;1
0;java;Canada;00.00;4
0;java;South Korea;00.00;1
0;java;Turkey;00.00;1
0;java;Germany;00.00;3
0;java;Sri Lanka;00.00;1
0;java;Spain;00.00;2
0;java;Viet Nam;00.00;1
0;java;Null;00.00;1
0;java;Norway;00.00;1
0;java;Netherlands;00.00;1
0;java;Australia;00.00;1
0;java;Republic of Korea;00.00;2
0;java;Egypt;00.00;2
0;java;Korea, Republic of;00.00;1
0;java;Lebanon;00.00;2
0;java;Taiwan;00.00;2
0;java;Hong Kong;00.00;1
0;java;United Kingdom;00.00;1
0;java;Poland;00.00;1
0;java;Morocco;00.00;2
0;java;Mexico;00.00;1
0;java;Bangladesh;00.00;1
0;csharp;United States;15.00;203
0;csharp;Poland;15.00;9
0;csharp;India;15.00;76
0;csharp;Slovakia;15.00;2
0;csharp;United Kingdom;15.00;35
0;csharp;Sweden;15.00;5
0;csharp;Israel;15.00;3
0;csharp;Australia;15.00;13
0;csharp;Canada;15.00;17
0;csharp;Armenia;15.00;1
0;csharp;Pakistan;15.00;8
0;csharp;Germany;15.00;9
0;csharp;Belarus;15.00;5
0;csharp;Indonesia;15.00;6
0;csharp;Belgium;15.00;3
0;csharp;Italy;15.00;7
0;csharp;Netherlands;15.00;8
0;csharp;Hungary;15.00;7
0;csharp;Brazil;15.00;12
0;csharp;Syrian Arab Republic;15.00;1
0;csharp;Denmark;15.00;2
0;csharp;Romania;15.00;11
0;csharp;Argentina;15.00;3
0;csharp;Null;15.00;5
0;csharp;Bulgaria;15.00;6
0;csharp;Portugal;15.00;3
0;csharp;Iran, Islamic Republic of;15.00;2
0;csharp;Austria;15.00;3
0;csharp;Mexico;15.00;11
0;csharp;Turkey;15.00;13
0;csharp;Bangladesh;15.00;4
0;csharp;Russia;15.00;8
0;csharp;Chile;15.00;1
0;csharp;Republic of Korea;15.00;4
0;csharp;Montenegro;15.00;1
0;csharp;Estonia;15.00;1
0;csharp;Singapore;15.00;4
0;csharp;Ivory Coast;15.00;1
0;csharp;France;15.00;6
0;csharp;Republic of Lithuania;15.00;2
0;csharp;Ireland;15.00;3
0;csharp;Czech Republic;15.00;2
0;csharp;Puerto Rico;15.00;1
0;csharp;Cambodia;15.00;1
0;csharp;Ukraine;15.00;9
0;csharp;Hong Kong;15.00;1
0;csharp;United Arab Emirates;15.00;1
0;csharp;Cuba;15.00;1
0;csharp;Vietnam;15.00;2
0;csharp;Russian Federation;15.00;11
0;csharp;New Zealand;15.00;1
0;csharp;Japan;15.00;5
0;csharp;South Korea;15.00;1
0;csharp;Taiwan;15.00;4
0;csharp;Viet Nam;15.00;2
0;csharp;Saudi Arabia;15.00;1
0;csharp;Macedonia;15.00;2
0;csharp;South Africa;15.00;7
0;csharp;Sri Lanka;15.00;2
0;csharp;Egypt;15.00;6
0;csharp;Serbia;15.00;3
0;csharp;Croatia;15.00;1
0;csharp;Thailand;15.00;1
0;csharp;Azerbaijan;15.00;1
0;csharp;Morocco;15.00;2
0;csharp;Spain;15.00;3
0;csharp;Guatemala;15.00;1
0;csharp;Uruguay;15.00;1
0;csharp;Holy See (Vatican City State);15.00;1
0;csharp;Kenya;15.00;1
0;csharp;Latvia;15.00;1
0;csharp;United States;00.00;24
0;csharp;India;00.00;24
0;csharp;Pakistan;00.00;2
0;csharp;Jordan;00.00;2
0;csharp;Bulgaria;00.00;1
0;csharp;Turkey;00.00;4
0;csharp;Australia;00.00;1
0;csharp;Nigeria;00.00;2
0;csharp;Canada;00.00;5
0;csharp;United Kingdom;00.00;5
0;csharp;Brazil;00.00;4
0;csharp;Hungary;00.00;1
0;csharp;Null;00.00;1
0;csharp;Cuba;00.00;1
0;csharp;Denmark;00.00;1
0;csharp;South Africa;00.00;2
0;csharp;Ireland;00.00;3
0;csharp;Vietnam;00.00;1
0;csharp;Iran;00.00;1
0;csharp;Romania;00.00;1
0;csharp;Poland;00.00;3
0;csharp;Egypt;00.00;1
0;csharp;Nepal;00.00;1
0;csharp;Netherlands;00.00;1
0;csharp;Russia;00.00;1
0;csharp;Macedonia;00.00;1
0;csharp;Austria;00.00;1
0;csharp;Thailand;00.00;1
0;csharp;Ukraine;00.00;1
0;csharp;China;00.00;1
0;csharp;Singapore;00.00;1
0;csharp;Mexico;00.00;1
0;haskell;France;15.00;1
0;haskell;United States;15.00;6
0;haskell;Taiwan;15.00;1
0;haskell;India;15.00;3
0;haskell;Netherlands;15.00;1
0;haskell;Germany;15.00;6
0;haskell;Austria;15.00;1
0;haskell;Russian Federation;15.00;1
0;haskell;Null;15.00;1
0;haskell;Dominican Republic;15.00;1
0;haskell;Israel;15.00;1
0;haskell;Estonia;15.00;1
0;haskell;Poland;15.00;1
0;haskell;Japan;15.00;3
0;haskell;United Kingdom;15.00;4
0;haskell;Sweden;15.00;3
0;haskell;Italy;15.00;2
0;haskell;Portugal;15.00;1
0;haskell;Colombia;15.00;1
0;haskell;Canada;15.00;1
0;haskell;Brazil;15.00;2
0;haskell;Russia;15.00;2
0;haskell;Mauritius;15.00;1
0;haskell;China;15.00;1
0;haskell;Hong Kong;15.00;2
0;haskell;China;04.50;3
0;haskell;Germany;04.50;1
0;haskell;Netherlands;04.50;1
0;haskell;Portugal;04.50;1
0;haskell;United States;04.50;3
0;haskell;Null;04.50;1
0;haskell;Italy;04.50;1
0;haskell;United Kingdom;04.50;1
0;haskell;Norway;04.50;1
0;haskell;United States;03.00;7
0;haskell;Australia;03.00;3
0;haskell;Null;03.00;2
0;haskell;Canada;03.00;2
0;haskell;France;03.00;1
0;haskell;Germany;03.00;3
0;haskell;Italy;03.00;1
0;haskell;United Kingdom;03.00;1
0;haskell;Switzerland;03.00;1
0;haskell;Austria;03.00;1
0;haskell;India;03.00;1
