problem_id;pl;country;score
0;cpp;Vietnam;00.00;1
0;cpp;Romania;00.00;1
0;cpp;United States;00.00;4
0;cpp;Bangladesh;00.00;2
0;cpp;Georgia;00.00;1
0;cpp;France;00.00;1
0;cpp;Lebanon;00.00;1
0;cpp;Canada;00.00;1
0;cpp;United Kingdom;00.00;1
0;cpp;Null;00.00;1
0;cpp;Indonesia;00.00;2
0;cpp;Hong Kong;00.00;1
0;cpp;Malaysia;00.00;1
0;cpp;Egypt;00.00;1
0;cpp;Israel;00.00;1
0;java;India;15.00;1102
0;java;Hong Kong;15.00;3
0;java;Singapore;15.00;12
0;java;United States;15.00;151
0;java;Japan;15.00;3
0;java;Canada;15.00;20
0;java;Republic of Korea;15.00;4
0;java;Netherlands;15.00;3
0;java;Kazakhstan;15.00;7
0;java;Russia;15.00;6
0;java;Australia;15.00;6
0;java;Denmark;15.00;1
0;java;Turkey;15.00;18
0;java;China;15.00;7
0;java;Russian Federation;15.00;7
0;java;Latvia;15.00;2
0;java;Sweden;15.00;2
0;java;Croatia;15.00;1
0;java;Czech Republic;15.00;1
0;java;Argentina;15.00;3
0;java;United Kingdom;15.00;19
0;java;Brazil;15.00;19
0;java;Ireland;15.00;6
0;java;Egypt;15.00;3
0;java;Colombia;15.00;3
0;java;Poland;15.00;8
0;java;Korea, Republic of;15.00;6
0;java;Null;15.00;11
0;java;Vietnam;15.00;14
0;java;France;15.00;5
0;java;Uzbekistan;15.00;1
0;java;Portugal;15.00;6
0;java;Mexico;15.00;5
0;java;Viet Nam;15.00;7
0;java;Belgium;15.00;2
0;java;Ukraine;15.00;1
0;java;Peru;15.00;1
0;java;Italy;15.00;9
0;java;Slovenia;15.00;1
0;java;Lithuania;15.00;1
0;java;Nepal;15.00;1
0;java;Indonesia;15.00;19
0;java;Tunisia;15.00;2
0;java;Romania;15.00;4
0;java;Morocco;15.00;2
0;java;Belarus;15.00;1
0;java;Tajikistan;15.00;1
0;java;Sri Lanka;15.00;7
0;java;Thailand;15.00;1
0;java;Hungary;15.00;2
0;java;Bangladesh;15.00;10
0;java;Turkmenistan;15.00;1
0;java;Slovakia;15.00;1
0;java;Asia/Pacific Region;15.00;1
0;java;Lebanon;15.00;2
0;java;Nigeria;15.00;3
0;java;Bulgaria;15.00;2
0;java;Philippines;15.00;8
0;java;Israel;15.00;1
0;java;Jordan;15.00;1
0;java;United Arab Emirates;15.00;2
0;java;Europe;15.00;1
0;java;New Zealand;15.00;2
0;java;Switzerland;15.00;2
0;java;Bolivia;15.00;1
0;java;South Africa;15.00;1
0;java;Guatemala;15.00;1
0;java;South Korea;15.00;5
0;java;Malaysia;15.00;3
0;java;Chile;15.00;1
0;java;Uruguay;15.00;1
0;java;Bosnia and Herzegovina;15.00;1
0;java;Hashemite Kingdom of Jordan;15.00;1
0;java;Spain;15.00;3
0;java;Serbia;15.00;2
0;java;Germany;15.00;4
0;java;Iran;15.00;1
0;java;Georgia;15.00;2
0;java;Montenegro;15.00;1
0;java;Paraguay;15.00;1
0;java;Myanmar;15.00;1
0;java;Cambodia;15.00;1
0;java;Luxembourg;15.00;1
0;java;Taiwan;15.00;1
0;java;Azerbaijan;15.00;1
0;java;Pakistan;15.00;1
0;java;Saudi Arabia;15.00;1
0;java;United States;12.30;1
0;java;India;12.30;34
0;java;Italy;12.30;1
0;java;Egypt;12.30;1
0;java;Null;12.30;1
0;java;Viet Nam;12.30;2
0;java;Indonesia;12.30;2
0;java;Pakistan;12.30;1
0;java;Brazil;12.30;1
0;java;United States;12.285;1
0;java;United States;12.15;14
0;java;India;12.15;26
0;java;United Kingdom;12.15;2
0;java;South Africa;12.15;1
0;java;Uzbekistan;12.15;1
0;java;France;12.15;2
0;java;Peru;12.15;1
0;java;Null;12.15;1
0;java;Canada;12.15;4
0;java;Ireland;12.15;1
0;java;Poland;12.15;1
0;java;Indonesia;12.15;1
0;java;India;11.40;36
0;java;Canada;11.40;2
0;java;Mexico;11.40;1
0;java;Azerbaijan;11.40;1
0;java;Turkey;11.40;1
0;java;Romania;11.40;1
0;java;United Kingdom;11.25;1
0;java;India;11.25;2
0;java;India;11.10;9
0;java;Sri Lanka;11.10;1
0;java;India;11.07;4
0;java;United States;11.07;2
0;java;India;11.057;1
0;java;India;10.95;3
0;java;Peru;10.95;1
0;java;United States;10.935;8
0;java;India;10.935;20
0;java;Canada;10.935;1
0;java;Poland;10.935;1
0;java;Indonesia;10.935;1
0;java;Pakistan;10.935;1
0;java;United Kingdom;10.935;2
0;java;Vietnam;09.90;1
0;java;India;09.90;42
0;java;Colombia;09.90;1
0;java;Brazil;09.90;1
0;java;Indonesia;09.90;3
0;java;Macedonia;09.90;1
0;java;United States;09.90;2
0;java;Bulgaria;09.90;1
0;java;Egypt;09.90;1
0;java;Canada;09.90;1
0;java;Lebanon;09.90;1
0;java;United Arab Emirates;09.90;1
0;java;United Kingdom;09.90;1
0;java;Palestine;09.90;1
0;java;India;09.842;8
0;java;Netherlands;09.842;1
0;java;Null;09.842;1
0;java;Denmark;09.842;1
0;java;Hungary;09.842;1
0;java;United States;09.842;4
0;java;United Kingdom;09.842;2
0;java;Turkey;09.842;1
0;java;Germany;09.842;1
0;java;Singapore;09.842;1
0;java;India;09.84;6
0;java;Ukraine;09.84;1
0;java;United States;09.84;4
0;java;Romania;09.84;1
0;java;United States;09.75;2
0;java;India;09.623;2
0;java;Russian Federation;09.623;1
0;java;Indonesia;09.60;1
0;java;India;09.60;3
0;csharp;Netherlands;15.00;12
0;csharp;Kazakhstan;15.00;4
0;csharp;Australia;15.00;19
0;csharp;Turkey;15.00;64
0;csharp;India;15.00;233
0;csharp;Russian Federation;15.00;22
0;csharp;Indonesia;15.00;26
0;csharp;United Kingdom;15.00;38
0;csharp;Belarus;15.00;6
0;csharp;Egypt;15.00;44
0;csharp;Sweden;15.00;6
0;csharp;Germany;15.00;18
0;csharp;South Africa;15.00;11
0;csharp;United States;15.00;222
0;csharp;Republic of Korea;15.00;3
0;csharp;Romania;15.00;20
0;csharp;Finland;15.00;1
0;csharp;Czech Republic;15.00;5
0;csharp;Russia;15.00;12
0;csharp;Italy;15.00;3
0;csharp;Poland;15.00;36
0;csharp;Croatia;15.00;1
0;csharp;Spain;15.00;11
0;csharp;Vietnam;15.00;12
0;csharp;Philippines;15.00;9
0;csharp;France;15.00;5
0;csharp;Ukraine;15.00;21
0;csharp;Nigeria;15.00;7
0;csharp;Ireland;15.00;6
0;csharp;Israel;15.00;7
0;csharp;Taiwan;15.00;8
0;csharp;Czechia;15.00;2
0;csharp;Bulgaria;15.00;10
0;csharp;Thailand;15.00;4
0;csharp;Canada;15.00;27
0;csharp;Norway;15.00;2
0;csharp;Portugal;15.00;11
0;csharp;Argentina;15.00;10
0;csharp;Bosnia and Herzegovina;15.00;3
0;csharp;Brazil;15.00;32
0;csharp;Chile;15.00;4
0;csharp;Mexico;15.00;10
0;csharp;Pakistan;15.00;12
0;csharp;Serbia;15.00;6
0;csharp;Cyprus;15.00;1
0;csharp;Singapore;15.00;10
0;csharp;Azerbaijan;15.00;9
0;csharp;New Zealand;15.00;5
0;csharp;Lebanon;15.00;4
0;csharp;Macedonia;15.00;2
0;csharp;Viet Nam;15.00;14
0;csharp;Austria;15.00;3
0;csharp;South Korea;15.00;3
0;csharp;Denmark;15.00;2
0;csharp;Venezuela;15.00;1
0;csharp;Null;15.00;5
0;csharp;Belgium;15.00;3
0;csharp;Japan;15.00;7
0;csharp;Algeria;15.00;1
0;csharp;Switzerland;15.00;4
0;csharp;Lithuania;15.00;4
0;csharp;Colombia;15.00;10
0;csharp;Nepal;15.00;4
0;csharp;Moldova;15.00;1
0;csharp;Bangladesh;15.00;11
0;csharp;China;15.00;5
0;csharp;Estonia;15.00;2
0;csharp;Hungary;15.00;10
0;csharp;Saudi Arabia;15.00;4
0;csharp;Georgia;15.00;3
0;csharp;Tajikistan;15.00;2
0;csharp;Curaçao;15.00;1
0;csharp;Armenia;15.00;9
0;csharp;Malaysia;15.00;2
0;csharp;Greece;15.00;3
0;csharp;Gibraltar;15.00;1
0;csharp;Andorra;15.00;1
0;csharp;Korea, Republic of;15.00;2
0;csharp;Guatemala;15.00;1
0;csharp;United Arab Emirates;15.00;3
0;csharp;Uzbekistan;15.00;4
0;csharp;Latvia;15.00;1
0;csharp;Tunisia;15.00;1
0;csharp;Hong Kong;15.00;2
0;csharp;Morocco;15.00;3
0;csharp;Costa Rica;15.00;1
0;csharp;Qatar;15.00;1
0;csharp;Slovakia;15.00;1
0;csharp;Bahrain;15.00;1
0;csharp;El Salvador;15.00;1
0;csharp;Sri Lanka;15.00;1
0;csharp;Iran, Islamic Republic of;15.00;1
0;csharp;Myanmar;15.00;1
0;csharp;Uruguay;15.00;1
0;csharp;Peru;15.00;1
0;csharp;Ecuador;15.00;1
0;csharp;Bulgaria;11.70;1
0;csharp;Finland;11.70;2
0;csharp;Denmark;11.70;1
0;csharp;Pakistan;11.70;3
0;csharp;Spain;11.70;1
0;csharp;India;11.70;41
0;csharp;Bangladesh;11.70;1
0;csharp;Uzbekistan;11.70;1
0;csharp;Russian Federation;11.70;3
0;csharp;Turkey;11.70;5
0;csharp;Australia;11.70;1
0;csharp;Vietnam;11.70;3
0;csharp;Hungary;11.70;2
0;csharp;Afghanistan;11.70;1
0;csharp;Israel;11.70;2
0;csharp;Cuba;11.70;1
0;csharp;Brazil;11.70;1
0;csharp;United States;11.70;8
0;csharp;Canada;11.70;1
0;csharp;Italy;11.70;2
0;csharp;Malaysia;11.70;1
0;csharp;Indonesia;11.70;2
0;csharp;Viet Nam;11.70;3
0;csharp;Georgia;11.70;1
0;csharp;Singapore;11.70;2
0;csharp;Egypt;11.70;1
0;csharp;Poland;11.70;2
0;csharp;Germany;11.70;1
0;csharp;United Kingdom;11.70;2
0;csharp;Taiwan;11.70;2
0;csharp;Thailand;11.70;1
0;csharp;Slovakia;11.70;1
0;haskell;United States;15.00;26
0;haskell;Germany;15.00;12
0;haskell;United Kingdom;15.00;9
0;haskell;Italy;15.00;3
0;haskell;Czechia;15.00;1
0;haskell;Canada;15.00;1
0;haskell;Russia;15.00;3
0;haskell;New Zealand;15.00;1
0;haskell;Colombia;15.00;1
0;haskell;Sweden;15.00;2
0;haskell;Switzerland;15.00;3
0;haskell;Spain;15.00;1
0;haskell;Slovakia;15.00;1
0;haskell;Estonia;15.00;1
0;haskell;Argentina;15.00;1
0;haskell;Japan;15.00;1
0;haskell;India;15.00;4
0;haskell;Latvia;15.00;1
0;haskell;Null;15.00;3
0;haskell;South Africa;15.00;1
0;haskell;France;15.00;1
0;haskell;China;15.00;1
0;haskell;Finland;15.00;1
0;haskell;Ukraine;15.00;1
0;haskell;Hungary;15.00;1
0;haskell;Bulgaria;15.00;1
0;haskell;Austria;15.00;1
0;haskell;Croatia;15.00;1
0;haskell;Netherlands;15.00;3
0;haskell;Belgium;15.00;3
0;haskell;Venezuela;15.00;1
0;haskell;Ireland;15.00;1
0;haskell;Singapore;15.00;1
0;haskell;Egypt;15.00;1
0;haskell;Hong Kong;15.00;1
0;haskell;Portugal;15.00;1
0;haskell;Costa Rica;15.00;1
0;haskell;Russian Federation;15.00;1
0;haskell;Poland;15.00;1
0;haskell;Anonymous Proxy;15.00;1
0;php;Republic of Lithuania;15.00;2
0;php;Morocco;15.00;1
0;php;India;15.00;36
0;php;United Kingdom;15.00;3
0;php;United States;15.00;26
0;php;Czech Republic;15.00;1
0;php;Null;15.00;5
0;php;Singapore;15.00;2
0;php;Bangladesh;15.00;5
0;php;Canada;15.00;7
0;php;Brazil;15.00;6
0;php;Vietnam;15.00;10
0;php;Spain;15.00;3
0;php;Egypt;15.00;5
0;php;Russian Federation;15.00;7
0;php;Russia;15.00;8
0;php;Hungary;15.00;2
